Product_Name,Brand,Current_Price,Original_Price,Discount(%),Rating,Ratings count,Reviews Count,Platform,Category,Product_URL,Scrape_Date,Storage
"Nokia 105 Single Sim, Keypad Mobile Phone With Wireless Fm Radio",Nokia,875,1399,0.37,3.9,166717,10545,Flipkart,mobiles,https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVG9WPRN3TH&lid=LSTMOBGQFVG9WPRN3TH9ZSKZ1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBGQFVG9WPRN3TH.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,
"Vivo T4X 5G (Marine Blue, 128 Gb)",Vivo,14999,19499,0.23,4.5,78468,4155,Flipkart,mobiles,https://www.flipkart.com/vivo-t4x-5g-marine-blue-128-gb/p/itm017656bdd097b?pid=MOBH9JUSZWZ5ZZAM&lid=LSTMOBH9JUSZWZ5ZZAMFXTB3Z&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH9JUSZWZ5ZZAM.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Nokia 125 Dual Sim Feature Mobile, Wireless Fm Radio And Built-In Torch",Nokia,1299,1999,0.35,3.9,6561,390,Flipkart,mobiles,https://www.flipkart.com/nokia-125-dual-sim-feature-mobile-wireless-fm-radio-built-in-torch/p/itm186ba2f17c73b?pid=MOBFVD9GZZQPFPPW&lid=LSTMOBFVD9GZZQPFPPWZCNYDC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBFVD9GZZQPFPPW.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,
"Motorola G45 5G (Brilliant Green, 128 Gb)",Motorola,11999,14999,0.2,4.3,204167,10433,Flipkart,mobiles,https://www.flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm4f3bbebe58a57?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH3YKQQN3S9TQQ.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Motorola G85 5G (Cobalt Blue, 128 Gb)",Motorola,15999,20999,0.23,4.4,225991,11454,Flipkart,mobiles,https://www.flipkart.com/motorola-g85-5g-cobalt-blue-128-gb/p/itmeb6f09bd82403?pid=MOBHY9PQ7FGZKVDK&lid=LSTMOBHY9PQ7FGZKVDKQ0DUHD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHY9PQ7FGZKVDK.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Vivo T4X 5G (Marine Blue, 128 Gb)",Vivo,13999,17999,0.22,4.4,100730,5079,Flipkart,mobiles,https://www.flipkart.com/vivo-t4x-5g-marine-blue-128-gb/p/itm017656bdd097b?pid=MOBH9JUSTWEMVADU&lid=LSTMOBH9JUSTWEMVADU5W2ENU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH9JUSTWEMVADU.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Ai+ Pulse (Purple, 64 Gb)",Ai+,5499,7999,0.31,4.3,9756,741,Flipkart,mobiles,https://www.flipkart.com/ai-pulse-purple-64-gb/p/itm64f0502e1d7d7?pid=MOBHDDQXZAC7RVHF&lid=LSTMOBHDDQXZAC7RVHFZOAP8Z&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHDDQXZAC7RVHF.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Motorola G05 (Forest Green, 64 Gb)",Motorola,6999,9999,0.3,4.2,49084,3352,Flipkart,mobiles,https://www.flipkart.com/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH5F3Q2SGMAFHR.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,64
"Poco C75 5G (Aqua Bliss, 128 Gb)",Poco,8499,11499,0.26,4.3,93979,4443,Flipkart,mobiles,https://www.flipkart.com/poco-c75-5g-aqua-bliss-128-gb/p/itmc8ac71aacc115?pid=MOBHBC3WFGTCNDD7&lid=LSTMOBHBC3WFGTCNDD7MLABCF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBHBC3WFGTCNDD7.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
"Motorola G35 5G (Guava Red, 128 Gb)",Motorola,9999,12499,0.2,4.2,71088,4999,Flipkart,mobiles,https://www.flipkart.com/motorola-g35-5g-guava-red-128-gb/p/itm39bba58f6cdfc?pid=MOBH3YGPWZZB9ZZK&lid=LSTMOBH3YGPWZZB9ZZKFWIZWR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=3f142b15-dea0-4c35-86ad-a5d770685679.MOBH3YGPWZZB9ZZK.SEARCH&ppt=None&ppn=None&ssid=2de5eyw8hs0000001756305252713&qH=eb4af0bf07c16429,27-08-2025,128
